model,test_f1_mean,test_f1_std,test_accuracy_mean,test_accuracy_std,gap_mean
logistic_regression,0.9833877503800348,0.008035365938430043,0.9789473684210526,0.01000153881665907,0.0075396383254154875
random_forest,0.9640778351369483,0.003228845704641392,0.9543859649122807,0.0039229262763154325,0.03592216486305155
svm_rbf,0.9633040306521071,0.009811177908102901,0.9543859649122807,0.011437197202109929,0.036695969347892876
decision_tree,0.9401252953821,0.011756921458907159,0.9245614035087719,0.01593500186367101,0.049051770089944303
