epoch,loss,grad_norm
1,0.7712004719780235,0.22033310621151855
2,0.7664819024882878,0.21566806696897522
3,0.7618762939886089,0.21118200038972673
4,0.7574842932877388,0.20687875574398262
5,0.753187789420989,0.2028503903869394
6,0.748954122315935,0.19878829508165624
7,0.7448715130525138,0.1945265055773139
8,0.7408866717326097,0.19004446869310626
9,0.7370855131574715,0.18619487153488623
10,0.7333934150083358,0.18262974456382472
11,0.7297477456413235,0.1792780847827121
12,0.7262407571656553,0.17608614743605527
13,0.7228630018446935,0.17306283376029497
14,0.7196012626890594,0.17019142595205453
15,0.71644745388426,0.16746627629018793
16,0.7133945015931019,0.1648665069713844
17,0.7104390419457536,0.16240613065405704
18,0.7075716156359867,0.16005720087943157
19,0.7047870830369991,0.15783001623384507
20,0.702079670582413,0.15571370309842322
21,0.6994446121354924,0.15370466861269294
22,0.6968774667724814,0.15179338158940925
23,0.6943739746065671,0.14997586042080976
24,0.6919296129827067,0.14825026233967603
25,0.6895401864946559,0.14661779723002735
26,0.6872071310603625,0.1451585652595984
27,0.6849255284885567,0.14365948834835712
28,0.6826919124972379,0.1422312395231763
29,0.6805021965843429,0.14087052868215366
30,0.6783538468371755,0.13961898897172748
31,0.676244503871745,0.13833735840023212
32,0.6741719008169654,0.1371582049745287
33,0.6721340180918173,0.13603312067715223
34,0.6701289799356364,0.13500713511811308
35,0.6681550839968216,0.13378125219404302
36,0.6662186278097718,0.13266988081434122
37,0.6643145734511823,0.13177293831620562
38,0.662440072619592,0.13067718039626142
39,0.6605963376919491,0.12974635264808887
40,0.6587785650908705,0.12889190521746163
41,0.6569843512019939,0.12814208336180796
42,0.655222146183977,0.1244172779129914
43,0.653593322544738,0.12377832155169473
44,0.6520635774871067,0.1178284740094918
45,0.6507229859524877,0.11512184662586071
46,0.6494642722781553,0.11275297059004444
47,0.6482658875462347,0.1124943206316446
48,0.6470843489187144,0.11037682451355842
49,0.6459805786528249,0.1087319401695179
50,0.644914097283217,0.10867921116219541
51,0.6438494953567163,0.10867028014377432
52,0.6428003352809372,0.10731585705438998
53,0.6417915573528242,0.10553262545968234
54,0.6408327179890514,0.1056985752991135
55,0.6398717629702236,0.10559569170374826
56,0.6389110557846821,0.10573436995839208
57,0.6379482876540575,0.10566749115522212
58,0.6369856142635341,0.10572858937457176
59,0.636021125101323,0.10578463991796225
60,0.6350566356142832,0.10579145281635588
61,0.6340909490545665,0.105826853828743
62,0.6331243726578922,0.10583710010391625
63,0.6321589223037526,0.10585909408266965
64,0.631190511176467,0.10586500626112431
65,0.6302240872887689,0.10586922238600226
66,0.6292667751880267,0.10385293822725719
67,0.6283445333603811,0.10382475981247845
68,0.6274236641425027,0.10375320274431538
69,0.6265010671730249,0.10368179012134365
70,0.6255898481517105,0.10137604002822607
71,0.6247041054291907,0.10121737487936003
72,0.6238193612374813,0.10107766200918193
73,0.6229385605955834,0.10092330139011442
74,0.6220577251033551,0.10082432826536065
75,0.6211783050126523,0.1006842461625921
76,0.6203018758407843,0.10062199198592678
77,0.6194270101466849,0.10042804742098217
78,0.6185529736870313,0.10028748663378267
79,0.6176806799608406,0.10014541846280453
80,0.616810738139257,0.10002799870671152
81,0.615943118787447,0.09989172747629722
82,0.6150760172546913,0.09974932729410425
83,0.6142107400424376,0.09960863944264443
