epoch,loss
1,71.73791666666668
2,25.892634143518524
3,9.467833558577668
4,3.5789454700876164
5,1.4632851544491101
6,0.6990862831521039
7,0.4190912116099141
8,0.31272129898399875
9,0.2687482328441129
10,0.24733252251009108
11,0.2341997218200449
12,0.2242306551778189
13,0.21558497115200567
14,0.20759674284389087
15,0.2000208606880587
16,0.19276315228736404
17,0.1857837280630165
18,0.17906236039939638
19,0.17258607764984044
20,0.16634471370605994
21,0.16032930678259963
22,0.15453151879277963
23,0.14894342046549544
24,0.14355740768759456
25,0.1383661650814178
26,0.13336264673129206
27,0.1285400632764554
28,0.12389187150100016
29,0.11941176502730799
30,0.11509366560638813
31,0.11093171481640478
32,0.10692026609478666
33,0.10305387707042546
34,0.09932730217743069
35,0.09573548553752005
36,0.09227355410033745
37,0.08893681103202529
38,0.0857207293429465
39,0.08262094574586153
40,0.07963325473621113
41,0.07675360288646858
42,0.0739780833468167
43,0.07130293054468992
44,0.0687245150759861
45,0.0662393387810228
46,0.06384402999855072
47,0.06153533899139118
48,0.05931013353748781
49,0.05716539468039272
50,0.055098212633420796
51,0.05310578283191489
52,0.05118540212826897
53,0.04933446512454184
54,0.047550460637691055
55,0.045830968292627144
56,0.04417365523846999
57,0.04257627298354733
58,0.04103665434484751
59,0.039552710507780614
60,0.03812242819226611
61,0.03674386692129732
62,0.035415156388278225
63,0.034134493919561505
64,0.03290014202874542
65,0.03171042605940948
66,0.030563731913093476
67,0.029458503859435287
68,0.02839324242549714
69,0.027366502361416977
70,0.02637689067962537
71,0.025423064764966394
72,0.02450373055315926
73,0.023617640775129446
74,0.02276359326482817
75,0.021940429328241806
76,0.02114703217138182
77,0.020382325385120154
78,0.01964527148481503
79,0.018934870502746195
80,0.018250158631449662
