model,accuracy,precision,recall,f1,roc_auc,train_accuracy,test_accuracy,train_precision,test_precision,train_recall,test_recall,train_f1,test_f1,train_roc_auc,test_roc_auc,generalization_gap_f1,stability_flag
logistic_regression,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9861111111111112,0.9953703703703703,0.989010989010989,0.9824561403508771,0.9861111111111112,0.9861111111111112,0.9964912280701754,0.9861111111111112,0.9912739965095986,0.9861111111111112,0.9974819401444789,0.9953703703703703,0.005162885398487416,stable
random_forest,0.9473684210526315,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.9937169312169313,1.0,0.9473684210526315,1.0,0.9583333333333334,1.0,0.9583333333333334,1.0,0.9583333333333334,1.0,0.9937169312169313,0.04166666666666663,watch_gap
svm_rbf,0.9473684210526315,0.9714285714285714,0.9444444444444444,0.9577464788732394,0.9897486772486772,1.0,0.9473684210526315,1.0,0.9714285714285714,1.0,0.9444444444444444,1.0,0.9577464788732394,1.0,0.9897486772486772,0.04225352112676062,watch_gap
decision_tree,0.9385964912280702,0.9577464788732394,0.9444444444444444,0.951048951048951,0.9341931216931217,0.9868131868131869,0.9385964912280702,0.979381443298969,0.9577464788732394,1.0,0.9444444444444444,0.9895833333333334,0.951048951048951,0.9932610939112487,0.9341931216931217,0.03853438228438233,watch_gap
